stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret,edge_vs_bh
M&M,STD_S1_BOUNCE_LONG,31,14,0.4516129032258064,4.3349496533000095e-05,-0.0008579000283271965,-0.0748615384615385,0.0740036384332113
M&M,STD_R1_BOUNCE_SHORT,27,10,0.3703703703703703,-0.0025952361493145,-0.0691024541983265,-0.0748615384615385,0.0057590842632119915
M&M,STD_R1_BREAKOUT_LONG,23,13,0.5652173913043478,-0.0007845523526757999,-0.01919307088255362,-0.0748615384615385,0.05566846757898487
M&M,STD_S1_BREAKDOWN_SHORT,28,13,0.4642857142857143,-0.0017932248789769999,-0.05009242328940888,-0.0748615384615385,0.02476911517212961
M&M,FIB_S1_BOUNCE_LONG,37,21,0.5675675675675675,0.0024744424552048,0.09456904954293033,-0.0748615384615385,0.1694305880044688
M&M,FIB_R1_BOUNCE_SHORT,32,15,0.46875,0.0009893670397178001,0.0309273085341375,-0.0748615384615385,0.10578884699567599
M&M,CAM_L3_LONG,42,22,0.5238095238095238,0.0020455987904836,0.0874735856114206,-0.0748615384615385,0.16233512407295908
M&M,CAM_S3_SHORT,35,17,0.4857142857142857,0.0015391302451563,0.053241200551152223,-0.0748615384615385,0.1281027390126907
M&M,CAM_R4_BREAKOUT_LONG,23,13,0.5652173913043478,-0.0010428812295003,-0.024819864406298353,-0.0748615384615385,0.05004167405524014
M&M,CAM_S4_BREAKDOWN_SHORT,27,10,0.3703703703703703,-0.0017504694843299999,-0.047196337159796764,-0.0748615384615385,0.02766520130174173
JSWSTEEL,STD_S1_BOUNCE_LONG,28,17,0.6071428571428571,0.0010945140848401,0.02958695995131655,0.0640066500415628,-0.034419690090246244
JSWSTEEL,STD_R1_BOUNCE_SHORT,31,13,0.4193548387096774,-0.0010547272394386,-0.033336777330455925,0.0640066500415628,-0.09734342737201872
JSWSTEEL,STD_R1_BREAKOUT_LONG,26,14,0.5384615384615384,-0.0008947528486120999,-0.023764226753670736,0.0640066500415628,-0.08777087679523353
JSWSTEEL,STD_S1_BREAKDOWN_SHORT,24,12,0.5,-0.0017050344695474999,-0.04099482855435921,0.0640066500415628,-0.105001478595922
JSWSTEEL,FIB_S1_BOUNCE_LONG,29,8,0.2758620689655172,-0.0028826878556922,-0.08076945314421746,0.0640066500415628,-0.14477610318578027
JSWSTEEL,FIB_R1_BOUNCE_SHORT,38,21,0.5526315789473685,0.0003445698776128001,0.012383189830550867,0.0640066500415628,-0.051623460211011926
JSWSTEEL,CAM_L3_LONG,35,16,0.4571428571428571,-0.00018249002716539992,-0.007485822814762733,0.0640066500415628,-0.07149247285632553
JSWSTEEL,CAM_S3_SHORT,43,17,0.3953488372093023,-0.0011271894454424,-0.0484125058651359,0.0640066500415628,-0.1124191559066987
JSWSTEEL,CAM_R4_BREAKOUT_LONG,25,10,0.4,-0.0027537167877047,-0.06718162371517944,0.0640066500415628,-0.13118827375674225
JSWSTEEL,CAM_S4_BREAKDOWN_SHORT,18,11,0.6111111111111112,0.0007471421161027001,0.013068520031075614,0.0640066500415628,-0.05093813001048718
TATASTEEL,STD_S1_BOUNCE_LONG,26,11,0.4230769230769231,-0.0012408779991638,-0.032727211901051545,0.0253295425174464,-0.05805675441849795
